arch,arm,wave,median_us,min_us,max_us,gbps,gate,numRegs
gfx1151,llvm32,32,3534.249115,3533.858490,3534.407425,75.952613,PASS,42
gfx1151,aco32,32,1237.647152,1236.939907,1237.801552,216.891749,PASS,96
gfx1151,llvm128,32,1250.607586,1250.475311,1251.202583,214.644033,PASS,37
gfx1151,llvm64,64,3559.610748,3559.209824,3560.037613,75.411463,PASS,42
gfx1151,aco64,64,1141.673565,1141.669559,1141.755581,235.124526,PASS,48
gfx1151,llvm128,64,1183.331585,1183.313465,1183.361626,226.847199,PASS,37
gfx1100,llvm32,32,332.202506,331.894493,332.204509,808.047655,PASS,42
gfx1100,aco32,32,304.882598,304.570651,305.092645,880.455158,PASS,96
gfx1100,llvm128,32,303.540659,303.448653,303.578591,884.347609,PASS,37
gfx1100,llvm64,64,323.812604,323.010492,324.456596,828.983964,PASS,42
gfx1100,aco64,64,307.456660,307.354593,308.088756,873.083887,PASS,48
gfx1100,llvm128,64,304.802704,304.742646,304.810643,880.685941,PASS,37
